fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
48135,US,TX,Ector County,county,,iso1:us#iso2:us-tx#fips:48135,,166223,0.0429,other,3.008007315,,0.61395889,0.579379584,0.21463512,,0.687331536,1,1,1,4,0,0,0,17414,377,,,,652,263,11,0.55,53,36,6,0.67,0,,49323,41289,5/31/21,https://covidactnow.org/us/texas-tx/county/ector_county,0.29672789,0.248395228,0,88180
48137,US,TX,Edwards County,county,,iso1:us#iso2:us-tx#fips:48137,,1932,,other,0,,,,,,,0,4,0,4,4,4,4,219,6,,,,,,0,,,,0,,0,,584,492,5/31/21,https://covidactnow.org/us/texas-tx/county/edwards_county,0.302277433,0.254658385,0,1054
48139,US,TX,Ellis County,county,,iso1:us#iso2:us-tx#fips:48139,,184826,0.0537,other,5.255908646,,0.773615644,0.441393412,0.238961039,,0.704,1,1,1,4,0,0,1,23031,316,,,,189,109,13,0.49,17,12,3,0.44,0,,69513,55559,5/31/21,https://covidactnow.org/us/texas-tx/county/ellis_county,0.376099683,0.300601647,0,120641
48141,US,TX,El Paso County,county,,iso1:us#iso2:us-tx#fips:48141,,839238,0.0277,other,3.506582332,,0.683155326,0.187319566,0.249893138,,0.923979875,1,0,1,4,0,0,3,136086,2716,,,,2719,1336,83,0.62,255,236,32,0.7,41,,475784,377991,5/31/21,https://covidactnow.org/us/texas-tx/county/el_paso_county,0.566923805,0.450397861,1,830342
48143,US,TX,Erath County,county,,iso1:us#iso2:us-tx#fips:48143,,42698,0.0179,other,0.669151449,,0.861729002,0.928452683,,,0.771428572,0,0,0,4,0,4,1,4216,69,,,,98,6,1,0.3,5,3,0,0.27,0,,11471,9665,5/31/21,https://covidactnow.org/us/texas-tx/county/erath_county,0.26865427,0.226357206,0,20308
48145,US,TX,Falls County,county,,iso1:us#iso2:us-tx#fips:48145,,17297,0.0323,other,6.744907595,,0.936814843,1.017872927,0,,,1,1,1,4,1,0,4,2100,32,,,,36,4,1,0.09,0,,0,,0,,5592,4237,5/31/21,https://covidactnow.org/us/texas-tx/county/falls_county,0.323293057,0.244955773,0,9577
48147,US,TX,Fannin County,county,,iso1:us#iso2:us-tx#fips:48147,,35514,0.0077,other,0.703947739,,0.811007566,0.82510868,,,,0,0,0,4,0,4,4,3487,109,,,,317,7,1,0.49,2,,2,0.04,0,,10379,8801,5/31/21,https://covidactnow.org/us/texas-tx/county/fannin_county,0.292250943,0.247817762,1,17856
48149,US,TX,Fayette County,county,,iso1:us#iso2:us-tx#fips:48149,,25346,0.0192,other,4.509023684,,0.828182307,1.00175126,,,,1,0,1,4,0,4,4,2739,66,,,,65,17,3,0.26,0,,0,,0,,9965,8084,5/31/21,https://covidactnow.org/us/texas-tx/county/fayette_county,0.393158684,0.31894579,1,16773
48151,US,TX,Fisher County,county,,iso1:us#iso2:us-tx#fips:48151,,3830,0.1429,other,3.729951511,,,,,,,2,2,1,4,4,4,4,304,14,,,,14,2,0,0.11,0,,0,,0,,1060,947,5/31/21,https://covidactnow.org/us/texas-tx/county/fisher_county,0.276762402,0.247258486,0,1877
48153,US,TX,Floyd County,county,,iso1:us#iso2:us-tx#fips:48153,,5712,0.0313,other,5.0020008,,1.024311609,0.820933209,,,,1,1,1,4,1,4,4,886,30,,,,25,2,0,0.16,0,,0,,0,,1920,1683,5/31/21,https://covidactnow.org/us/texas-tx/county/floyd_county,0.336134454,0.294642857,0,3452
48155,US,TX,Foard County,county,,iso1:us#iso2:us-tx#fips:48155,,1155,,other,12.3685838,,,,,,,2,4,2,4,4,4,4,124,10,,,,,,0,,,,0,,0,,410,337,5/31/21,https://covidactnow.org/us/texas-tx/county/foard_county,0.354978355,0.291774892,0,717
48157,US,TX,Fort Bend County,county,,iso1:us#iso2:us-tx#fips:48157,,811688,0.0389,other,5.825602237,,0.813428693,0.202926258,0.088028169,,0.769366197,1,1,1,4,0,0,1,68725,681,,,,1165,595,29,0.6,81,62,4,0.53,0,,445365,362013,5/31/21,https://covidactnow.org/us/texas-tx/county/fort_bend_county,0.548689891,0.446000187,0,782706
48159,US,TX,Franklin County,county,,iso1:us#iso2:us-tx#fips:48159,,10725,0.1176,other,3.996003996,,1.008519555,1.164847297,,,,2,2,1,4,1,4,4,736,26,,,,,,1,,,,0,,0,,2986,2454,5/31/21,https://covidactnow.org/us/texas-tx/county/franklin_county,0.278414918,0.228811189,0,5092
48161,US,TX,Freestone County,county,,iso1:us#iso2:us-tx#fips:48161,,19717,0.0192,other,12.31714474,,0.772292561,0.849813367,inf,,,2,0,2,4,0,4,4,1964,50,,,,37,4,1,0.12,0,,0,,0,,5456,4023,5/31/21,https://covidactnow.org/us/texas-tx/county/freestone_county,0.276715525,0.204037125,0,8868
48163,US,TX,Frio County,county,,iso1:us#iso2:us-tx#fips:48163,,20306,0.0903,other,22.51269857,,1.036996583,0.735351092,inf,,,2,1,2,4,1,4,4,2631,52,,,,24,3,0,0.22,0,,0,,0,,6728,5032,5/31/21,https://covidactnow.org/us/texas-tx/county/frio_county,0.331330641,0.247808529,0,10969
48165,US,TX,Gaines County,county,,iso1:us#iso2:us-tx#fips:48165,,21492,0.0714,other,5.317593257,,1.186955605,1.184169129,0.010693802,,,2,1,1,4,2,0,4,1452,44,,,,33,6,2,0.45,94,93,33,,0,,3264,2813,5/31/21,https://covidactnow.org/us/texas-tx/county/gaines_county,0.151870463,0.130885911,0,5621
48167,US,TX,Galveston County,county,,iso1:us#iso2:us-tx#fips:48167,,342139,0.0554,other,8.267316584,,0.818493309,0.226444712,0.104859335,,0.849411767,1,1,1,4,0,0,2,40354,424,,,,946,526,25,0.68,121,103,5,,0,,153488,132956,5/31/21,https://covidactnow.org/us/texas-tx/county/galveston_county,0.448612991,0.388602293,1,279880
48169,US,TX,Garza County,county,,iso1:us#iso2:us-tx#fips:48169,,6229,0.0278,other,18.34736142,,1.274239658,1.156775049,,,,2,0,2,4,2,4,4,502,22,,,,,,0,,,,0,,0,,2717,2073,5/31/21,https://covidactnow.org/us/texas-tx/county/garza_county,0.436185584,0.332798202,0,3818
48171,US,TX,Gillespie County,county,,iso1:us#iso2:us-tx#fips:48171,,26988,0.0588,other,6.352029473,,1.010757304,0.894234175,0.483247422,,0.937500001,1,1,1,4,1,0,3,2491,51,,,,84,23,2,0.36,4,4,2,0.24,0,,11825,10092,5/31/21,https://covidactnow.org/us/texas-tx/county/gillespie_county,0.4381577,0.373943975,0,21214
48173,US,TX,Glasscock County,county,,iso1:us#iso2:us-tx#fips:48173,,1409,,other,0,,1,1.167521158,,,,0,4,0,4,1,4,4,104,2,,,,,,0,,,,0,,0,,484,413,5/31/21,https://covidactnow.org/us/texas-tx/county/glasscock_county,0.343506033,0.293115685,0,870
48175,US,TX,Goliad County,county,,iso1:us#iso2:us-tx#fips:48175,,7658,0.2,other,26.1164795,,1.369632372,1.064066112,,,,3,2,3,4,2,4,4,471,13,,,,,,2,,,,1,,0,,2439,2169,5/31/21,https://covidactnow.org/us/texas-tx/county/goliad_county,0.318490467,0.28323322,0,4388
48177,US,TX,Gonzales County,county,,iso1:us#iso2:us-tx#fips:48177,,20837,0.0185,other,2.056780864,,1.086760943,1.021028341,0,,,1,0,1,4,1,0,4,2518,57,,,,34,3,1,0.18,1,1,0,,0,,7218,6444,5/31/21,https://covidactnow.org/us/texas-tx/county/gonzales_county,0.346403033,0.309257571,0,12424
48179,US,TX,Gray County,county,,iso1:us#iso2:us-tx#fips:48179,,21886,0.0323,other,15.01285884,,1.237696417,0.954826291,0.110051357,,0.465517241,2,1,2,4,2,0,0,2355,57,,,,109,18,0,0.13,8,3,0,0.27,0,,6282,5231,5/31/21,https://covidactnow.org/us/texas-tx/county/gray_county,0.287032806,0.23901124,0,10873
48181,US,TX,Grayson County,county,,iso1:us#iso2:us-tx#fips:48181,,136212,0.0346,other,1.468299416,,0.760313848,0.828464901,0.073449822,,0.926008969,1,1,1,4,0,0,3,11348,342,,,,717,398,3,0.57,63,59,2,0.63,0,,43720,36894,5/31/21,https://covidactnow.org/us/texas-tx/county/grayson_county,0.320970252,0.270857193,0,73835
48183,US,TX,Gregg County,county,,iso1:us#iso2:us-tx#fips:48183,,123945,0.0694,other,6.800251264,,0.852582756,0.560980497,0.120772947,,0.820987654,1,1,1,4,0,0,2,11321,356,,,,841,191,5,0.5,46,38,3,0.52,0,,40033,33636,5/31/21,https://covidactnow.org/us/texas-tx/county/gregg_county,0.322990036,0.271378434,0,71573
48185,US,TX,Grimes County,county,,iso1:us#iso2:us-tx#fips:48185,,28880,0.022,other,7.419865453,,0.685919855,0.876921421,inf,,,1,0,1,4,0,4,4,3757,71,,,,25,7,0,0.32,0,,0,,0,,11275,8842,5/31/21,https://covidactnow.org/us/texas-tx/county/grimes_county,0.390408587,0.306163435,0,19052
48187,US,TX,Guadalupe County,county,,iso1:us#iso2:us-tx#fips:48187,,166847,0.0333,other,7.962812808,,0.740852399,0.357521217,0.249433106,,0.634920634,1,1,1,4,0,0,0,13527,216,,,,161,56,2,0.32,9,5,1,0.51,0,,65889,54007,5/31/21,https://covidactnow.org/us/texas-tx/county/guadalupe_county,0.394906711,0.323691766,0,110901
48189,US,TX,Hale County,county,,iso1:us#iso2:us-tx#fips:48189,,33406,0.0439,other,3.421113401,,1.001070497,0.93493635,,,,1,1,1,4,1,4,4,6148,156,,,,88,14,3,0.4,4,1,0,0.73,0,,9588,8136,5/31/21,https://covidactnow.org/us/texas-tx/county/hale_county,0.287014309,0.243549063,0,16468
48191,US,TX,Hall County,county,,iso1:us#iso2:us-tx#fips:48191,,2964,0.5,other,4.819741662,,1.170598036,0.950777121,,,,3,3,1,4,2,4,4,487,14,,,,,,0,,,,0,,0,,1056,896,5/31/21,https://covidactnow.org/us/texas-tx/county/hall_county,0.356275304,0.302294197,0,1827
48193,US,TX,Hamilton County,county,,iso1:us#iso2:us-tx#fips:48193,,8461,0.0189,other,6.753676533,,1.177476918,1.136928049,,,,2,0,1,4,2,4,4,784,27,,,,42,11,0,0.2,0,,0,,0,,3172,2716,5/31/21,https://covidactnow.org/us/texas-tx/county/hamilton_county,0.374896584,0.321002246,0,5388
48195,US,TX,Hansford County,county,,iso1:us#iso2:us-tx#fips:48195,,5399,,other,13.22996322,,1.263159578,0.990773652,,,,2,4,2,4,2,4,4,915,24,,,,14,2,0,0.17,0,,0,,0,,1771,1622,5/31/21,https://covidactnow.org/us/texas-tx/county/hansford_county,0.328023708,0.300426005,0,3010
48197,US,TX,Hardeman County,county,,iso1:us#iso2:us-tx#fips:48197,,3933,,other,0,,1,1.167521158,0.09423913,,,0,4,0,4,1,0,4,383,12,,,,45,4,1,0.06,4,4,0,,0,,1382,1251,5/31/21,https://covidactnow.org/us/texas-tx/county/hardeman_county,0.351385711,0.318077803,0,2425
48199,US,TX,Hardin County,county,,iso1:us#iso2:us-tx#fips:48199,,57602,0.0519,other,4.46413071,,0.534909117,0.57280436,0.422705314,,,1,1,1,4,0,0,4,5907,113,,,,,3,3,,5,5,1,,0,,15276,12584,5/31/21,https://covidactnow.org/us/texas-tx/county/hardin_county,0.265199125,0.218464637,0,27019
48201,US,TX,Harris County,county,,iso1:us#iso2:us-tx#fips:48201,,4713325,0.0433,other,6.328562412,,1.049740331,0.116205913,0.260359553,,0.789388885,1,1,1,4,1,0,1,381598,6440,,,,18060,9243,583,0.68,1241,979,171,0.68,71,,2116103,1673162,5/31/21,https://covidactnow.org/us/texas-tx/county/harris_county,0.448961826,0.354985493,4,3636521
48203,US,TX,Harrison County,county,,iso1:us#iso2:us-tx#fips:48203,,66553,0.0769,other,4.507685604,,0.717963171,0.835479656,0.078064012,,,1,1,1,4,0,0,4,4921,109,,,,336,,4,0.55,42,,2,0.6,3,,17885,14954,5/31/21,https://covidactnow.org/us/texas-tx/county/harrison_county,0.26873319,0.224693102,0,30492
48205,US,TX,Hartley County,county,,iso1:us#iso2:us-tx#fips:48205,,5576,,other,17.93400287,,1.058252942,0.935820639,,,,2,4,2,4,1,4,4,652,2,,,,21,,0,0.24,0,,0,,0,,2103,1503,5/31/21,https://covidactnow.org/us/texas-tx/county/hartley_county,0.37715208,0.269548063,0,3585
48207,US,TX,Haskell County,county,,iso1:us#iso2:us-tx#fips:48207,,5658,,other,2.524869969,,1,1.167521158,,,,1,4,1,4,1,4,4,446,27,,,,25,1,1,0.09,0,,0,,0,,1909,1545,5/31/21,https://covidactnow.org/us/texas-tx/county/haskell_county,0.337398374,0.273064687,0,3309
48209,US,TX,Hays County,county,,iso1:us#iso2:us-tx#fips:48209,,230191,0.0478,other,4.127007572,,0.654528954,0.403444797,0.270290015,,0.74928775,1,1,1,4,0,0,1,20914,247,,,,388,216,25,0.47,50,37,10,0.43,0,,110928,88726,5/31/21,https://covidactnow.org/us/texas-tx/county/hays_county,0.481895469,0.38544513,0,190583
48211,US,TX,Hemphill County,county,,iso1:us#iso2:us-tx#fips:48211,,3819,,other,0,,1,1.167521158,0.037428307,,,0,4,0,4,1,0,4,584,2,,,,26,1,1,0.08,6,6,3,,0,,1302,1193,5/31/21,https://covidactnow.org/us/texas-tx/county/hemphill_county,0.340926944,0.312385441,0,2206
48213,US,TX,Henderson County,county,,iso1:us#iso2:us-tx#fips:48213,,82737,0.0522,other,3.625947279,,0.654119876,0.78646991,0.367726585,,1,1,1,1,4,0,0,3,5974,191,,,,127,50,3,0.39,9,9,2,0.52,0,,24463,20370,5/31/21,https://covidactnow.org/us/texas-tx/county/henderson_county,0.295671828,0.24620182,0,42550
48215,US,TX,Hidalgo County,county,,iso1:us#iso2:us-tx#fips:48215,,868707,0.0507,other,7.745501566,,0.840804622,0.162949352,0.251027965,,0.736681885,1,1,1,4,0,0,1,89284,2878,,,,3009,1165,98,0.55,187,138,31,0.54,0,,458983,368749,5/31/21,https://covidactnow.org/us/texas-tx/county/hidalgo_county,0.528351907,0.424480291,0,800589
48217,US,TX,Hill County,county,,iso1:us#iso2:us-tx#fips:48217,,36649,0.0288,other,5.457174821,,0.94272859,0.965800935,inf,,,1,0,1,4,1,4,4,4529,109,,,,25,13,0,0.24,0,,1,,0,,11348,9677,5/31/21,https://covidactnow.org/us/texas-tx/county/hill_county,0.309640099,0.264045404,0,19299
48219,US,TX,Hockley County,county,,iso1:us#iso2:us-tx#fips:48219,,23021,0.0455,other,22.44327643,,1.303343703,0.802406,1.304347826,,,2,1,2,4,2,3,4,2872,103,,,,48,8,1,0.14,1,1,0,,0,,7253,6324,5/31/21,https://covidactnow.org/us/texas-tx/county/hockley_county,0.315060162,0.274705703,0,12780
48221,US,TX,Hood County,county,,iso1:us#iso2:us-tx#fips:48221,,61643,0.0339,other,2.549240906,,0.708875305,0.919932822,0.19828156,,0.505882354,1,1,1,4,0,0,0,6591,130,,,,73,32,2,0.67,12,6,2,0.32,0,,23787,21277,5/31/21,https://covidactnow.org/us/texas-tx/county/hood_county,0.385883231,0.345164901,0,43781
48223,US,TX,Hopkins County,county,,iso1:us#iso2:us-tx#fips:48223,,37084,0.122,other,11.9420004,,0.97567712,0.855028119,,,0.100840336,2,2,2,4,1,4,0,3158,112,,,,96,30,2,0.49,17,1,1,0.4,3,,10348,8858,5/31/21,https://covidactnow.org/us/texas-tx/county/hopkins_county,0.279042175,0.238863122,0,18399
48225,US,TX,Houston County,county,,iso1:us#iso2:us-tx#fips:48225,,22968,0.0333,other,9.95173409,,0.998139603,0.854255269,,,,1,1,1,4,1,4,4,1680,55,,,,,3,0,,,,1,,1,,7251,5257,5/31/21,https://covidactnow.org/us/texas-tx/county/houston_county,0.315700104,0.228883664,0,11674
48227,US,TX,Howard County,county,,iso1:us#iso2:us-tx#fips:48227,,36664,0.0139,other,5.065303451,,0.926922369,0.964484719,,,0.375,1,0,1,4,1,4,0,4675,101,,,,346,26,3,0.7,5,2,1,0.39,1,,8517,6739,5/31/21,https://covidactnow.org/us/texas-tx/county/howard_county,0.232298713,0.183804277,0,14260
48229,US,TX,Hudspeth County,county,,iso1:us#iso2:us-tx#fips:48229,,4886,0.2857,other,11.6952225,,0.99379237,1.213408389,,,,3,3,2,4,1,4,4,538,12,,,,,,0,,,,0,,0,,2575,2184,5/31/21,https://covidactnow.org/us/texas-tx/county/hudspeth_county,0.527015964,0.446991404,0,4336
48231,US,TX,Hunt County,county,,iso1:us#iso2:us-tx#fips:48231,,98594,0.0857,other,2.173415363,,0.566349806,0.66964563,0.174603174,,0.93,1,1,1,4,0,0,3,6095,173,,,,221,115,5,0.66,14,13,1,0.58,0,,28649,23810,5/31/21,https://covidactnow.org/us/texas-tx/county/hunt_county,0.290575491,0.241495426,0,50003
48233,US,TX,Hutchinson County,county,,iso1:us#iso2:us-tx#fips:48233,,20938,0.0645,other,17.05716196,,1.170667608,0.831492371,,,,2,1,2,4,2,4,4,2069,71,,,,25,10,1,0.29,1,0,1,0.08,0,,5620,4626,5/31/21,https://covidactnow.org/us/texas-tx/county/hutchinson_county,0.268411501,0.220938007,0,9992
48235,US,TX,Irion County,county,,iso1:us#iso2:us-tx#fips:48235,,1536,,other,9.300595238,,,,,,,1,4,1,4,4,4,4,128,1,,,,,,0,,,,0,,0,,492,413,5/31/21,https://covidactnow.org/us/texas-tx/county/irion_county,0.3203125,0.268880208,0,887
48237,US,TX,Jack County,county,,iso1:us#iso2:us-tx#fips:48237,,8935,0.0385,other,1.598848829,,1,1.167521158,,,,1,1,1,4,1,4,4,605,16,,,,17,11,0,0.21,0,,0,,0,,2593,1965,5/31/21,https://covidactnow.org/us/texas-tx/county/jack_county,0.290207051,0.219921656,0,4301
48239,US,TX,Jackson County,county,,iso1:us#iso2:us-tx#fips:48239,,14760,0.0256,other,9.678668215,,0.865447194,0.889623756,inf,,,1,0,1,4,0,4,4,1786,31,,,,25,2,0,0.11,0,,2,,0,,4928,4289,5/31/21,https://covidactnow.org/us/texas-tx/county/jackson_county,0.333875339,0.290582656,0,8883
48241,US,TX,Jasper County,county,,iso1:us#iso2:us-tx#fips:48241,,35529,0.0152,other,0,,0.947271195,1.039699185,,,,0,0,0,4,1,4,4,2495,92,,,,59,3,1,0.15,6,3,0,0,0,,9252,8095,5/31/21,https://covidactnow.org/us/texas-tx/county/jasper_county,0.260406991,0.227842045,0,16602
48243,US,TX,Jeff Davis County,county,,iso1:us#iso2:us-tx#fips:48243,,2274,,other,6.282196256,,,,,,,1,4,1,4,4,4,4,192,5,,,,,,0,,,,0,,1,,1124,959,5/31/21,https://covidactnow.org/us/texas-tx/county/jeff_davis_county,0.494283201,0.421723835,0,2018
48245,US,TX,Jefferson County,county,,iso1:us#iso2:us-tx#fips:48245,,251565,0.0476,other,1.703621047,,0.646474285,0.650775576,0.261502814,,0.870175439,1,1,1,4,0,0,3,19777,434,,,,2091,589,34,0.5,81,70,11,0.68,0,,84876,66996,5/31/21,https://covidactnow.org/us/texas-tx/county/jefferson_county,0.337391927,0.266316856,0,149766
48247,US,TX,Jim Hogg County,county,,iso1:us#iso2:us-tx#fips:48247,,5200,0.0435,other,8.241758242,,1.008489861,1.164856617,,,,1,1,1,4,1,4,4,618,16,,,,,,0,,,,0,,0,,2586,2005,5/31/21,https://covidactnow.org/us/texas-tx/county/jim_hogg_county,0.497307692,0.385576923,0,4557
48249,US,TX,Jim Wells County,county,,iso1:us#iso2:us-tx#fips:48249,,40482,0.0208,other,2.117343158,,0.752238511,0.893769298,,,0.716981132,1,0,1,4,0,4,1,4320,105,,,,135,26,1,0.29,7,5,1,0.36,1,,16965,14044,5/31/21,https://covidactnow.org/us/texas-tx/county/jim_wells_county,0.419075145,0.346919619,0,30193
48251,US,TX,Johnson County,county,,iso1:us#iso2:us-tx#fips:48251,,175817,0.0336,other,4.875198969,,0.829230177,0.618525663,0.194498472,,0.587570623,1,1,1,4,0,0,0,19951,370,,,,137,190,11,0.28,25,14,3,0.6,0,,56720,47776,5/31/21,https://covidactnow.org/us/texas-tx/county/johnson_county,0.322608166,0.27173709,0,101502
48253,US,TX,Jones County,county,,iso1:us#iso2:us-tx#fips:48253,,20083,0.0247,other,34.8553503,,1.273428776,0.792963806,,,,3,0,3,4,2,4,4,2603,55,,,,95,1,0,0.29,0,,0,,0,,5896,5199,5/31/21,https://covidactnow.org/us/texas-tx/county/jones_county,0.293581636,0.258875666,0,10114
48255,US,TX,Karnes County,county,,iso1:us#iso2:us-tx#fips:48255,,15601,0.0192,other,54.94153305,,0.803227221,0.538808748,0.263869565,,,3,0,3,4,0,0,4,2087,37,,,,25,8,2,0.16,1,1,4,,0,,6108,5012,5/31/21,https://covidactnow.org/us/texas-tx/county/karnes_county,0.391513365,0.321261458,0,10282
48257,US,TX,Kaufman County,county,,iso1:us#iso2:us-tx#fips:48257,,136154,0.0364,other,5.560929955,,0.671943634,0.517242117,,,0.368421053,1,1,1,4,0,4,0,16250,260,,,,379,10,2,0.8,5,2,0,0.26,0,,49595,39304,5/31/21,https://covidactnow.org/us/texas-tx/county/kaufman_county,0.364256651,0.28867312,0,85464
48259,US,TX,Kendall County,county,,iso1:us#iso2:us-tx#fips:48259,,47431,0.0188,other,3.614272763,,0.672619042,0.912480855,,,,1,0,1,4,0,4,4,3340,72,,,,,,3,,,,1,,0,,22524,18720,5/31/21,https://covidactnow.org/us/texas-tx/county/kendall_county,0.474879298,0.394678586,0,39335
48261,US,TX,Kenedy County,county,,iso1:us#iso2:us-tx#fips:48261,,404,,other,0,,,,,,,0,4,0,4,4,4,4,39,2,,,,,,0,,,,0,,0,,184,158,5/31/21,https://covidactnow.org/us/texas-tx/county/kenedy_county,0.455445545,0.391089109,0,337
48263,US,TX,Kent County,county,,iso1:us#iso2:us-tx#fips:48263,,762,,other,0,,,,,,,0,4,0,4,4,4,4,106,2,,,,,,0,,,,0,,0,,234,206,5/31/21,https://covidactnow.org/us/texas-tx/county/kent_county,0.307086614,0.270341207,0,412
48265,US,TX,Kerr County,county,,iso1:us#iso2:us-tx#fips:48265,,52600,0.0213,other,5.160239001,,0.629801931,0.794102091,0.077700078,,0.91025641,1,0,1,4,0,0,3,4419,88,,,,342,81,3,0.8,11,10,0,0.55,0,,19018,15829,5/31/21,https://covidactnow.org/us/texas-tx/county/kerr_county,0.361558935,0.300931559,0,33340
48267,US,TX,Kimble County,county,,iso1:us#iso2:us-tx#fips:48267,,4337,0.2727,other,16.46958068,,1.273034037,1.031613523,,,,3,3,2,4,2,4,4,282,6,,,,15,0,1,0.09,2,2,0,,0,,1562,1275,5/31/21,https://covidactnow.org/us/texas-tx/county/kimble_county,0.36015679,0.293982015,0,2705
48269,US,TX,King County,county,,iso1:us#iso2:us-tx#fips:48269,,272,,other,0,,,,,,,0,4,0,4,4,4,4,11,0,,,,,,0,,,,0,,0,,38,32,5/31/21,https://covidactnow.org/us/texas-tx/county/king_county,0.139705882,0.117647059,0,64
48271,US,TX,Kinney County,county,,iso1:us#iso2:us-tx#fips:48271,,3667,0.056,other,0,,1,1.167521158,,,,0,1,0,4,1,4,4,331,6,,,,,,0,,,,0,,0,,1254,935,5/31/21,https://covidactnow.org/us/texas-tx/county/kinney_county,0.341968912,0.25497682,0,2145
48273,US,TX,Kleberg County,county,,iso1:us#iso2:us-tx#fips:48273,,30680,0.0351,other,2.328180294,,0.997568257,1.174561355,,,0.76744186,1,1,1,4,1,4,1,2659,93,,,,96,29,0,0.55,6,4,0,0.61,1,,15037,12649,5/31/21,https://covidactnow.org/us/texas-tx/county/kleberg_county,0.490123859,0.412288136,0,27231
48275,US,TX,Knox County,county,,iso1:us#iso2:us-tx#fips:48275,,3664,,other,7.797878977,,,,0.013326746,,,1,4,1,4,4,0,4,263,17,,,,28,2,2,0.04,9,7,2,,0,,1140,1050,5/31/21,https://covidactnow.org/us/texas-tx/county/knox_county,0.311135371,0.286572052,0,2073
48277,US,TX,Lamar County,county,,iso1:us#iso2:us-tx#fips:48277,,49859,0.1047,other,10.02827975,,1.156814481,0.817009186,0.060328185,,0.589285714,2,2,2,4,2,0,0,5881,156,,,,469,104,1,0.25,16,9,0,0.47,0,,14296,12537,5/31/21,https://covidactnow.org/us/texas-tx/county/lamar_county,0.286728575,0.251449086,0,25725
48279,US,TX,Lamb County,county,,iso1:us#iso2:us-tx#fips:48279,,12893,0.0952,other,31.02458699,,1.112059943,0.818501396,0.097161274,,,3,1,3,4,2,0,4,2348,83,,,,75,3,1,0.11,24,24,12,,0,,4206,3649,5/31/21,https://covidactnow.org/us/texas-tx/county/lamb_county,0.326223532,0.283021795,0,7425
48281,US,TX,Lampasas County,county,,iso1:us#iso2:us-tx#fips:48281,,21428,0.0149,other,2.66673778,,0.968506421,1.171128415,inf,,,1,0,1,4,1,4,4,2197,33,,,,25,7,0,0.31,0,,0,,0,,6842,5628,5/31/21,https://covidactnow.org/us/texas-tx/county/lampasas_county,0.319301848,0.262647004,0,11612
48283,US,TX,La Salle County,county,,iso1:us#iso2:us-tx#fips:48283,,7520,0.0222,other,6.64893617,,1.193371899,1.150770399,,,,2,0,1,4,2,4,4,1052,28,,,,,,0,,,,0,,0,,3401,2760,5/31/21,https://covidactnow.org/us/texas-tx/county/la_salle_county,0.452260638,0.367021277,0,5887
48285,US,TX,Lavaca County,county,,iso1:us#iso2:us-tx#fips:48285,,20154,0.0283,other,7.088277407,,0.953833755,0.912099618,2.028985507,,,1,0,1,4,1,3,4,2263,76,,,,50,4,2,0.24,0,,2,0.06,0,,6954,6063,5/31/21,https://covidactnow.org/us/texas-tx/county/lavaca_county,0.345043168,0.300833581,0,11903
48287,US,TX,Lee County,county,,iso1:us#iso2:us-tx#fips:48287,,17239,0.0333,other,3.314743149,,0.986415852,1.065075616,,,,1,1,1,4,1,4,4,2212,39,,,,,,1,,,,0,,0,,5955,4971,5/31/21,https://covidactnow.org/us/texas-tx/county/lee_county,0.34543767,0.288357793,0,10427
48289,US,TX,Leon County,county,,iso1:us#iso2:us-tx#fips:48289,,17404,0.018,other,4.924976196,,1.135653004,1.181439452,,,,2,0,1,4,2,4,4,1647,43,,,,,,1,,,,0,,0,,5255,4379,5/31/21,https://covidactnow.org/us/texas-tx/county/leon_county,0.301942082,0.251608826,0,8742
48291,US,TX,Liberty County,county,,iso1:us#iso2:us-tx#fips:48291,,88219,0.0606,other,12.28004549,,0.808298773,0.49955507,0.507246377,,,2,1,2,4,0,1,4,8030,187,,,,41,2,1,0.05,4,4,1,,0,,24506,18525,5/31/21,https://covidactnow.org/us/texas-tx/county/liberty_county,0.277785964,0.209988778,0,41087
48293,US,TX,Limestone County,county,,iso1:us#iso2:us-tx#fips:48293,,23437,0.023,other,4.876294504,,0.849174445,0.988885887,,,,1,0,1,4,0,4,4,2811,80,,,,78,8,0,0.14,6,0,1,0.02,0,,6370,5170,5/31/21,https://covidactnow.org/us/texas-tx/county/limestone_county,0.271792465,0.220591373,0,10830
