fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
48031,US,TX,Blanco County,county,,iso1:us#iso2:us-tx#fips:48031,,11931,0.0989,other,10.77624915,,1.32081607,1.029171134,,,,2,1,2,4,2,4,4,750,20,,,,,,1,,,,0,,0,,5269,4569,5/31/21,https://covidactnow.org/us/texas-tx/county/blanco_county,0.441622664,0.382951974,0,9489
48033,US,TX,Borden County,county,,iso1:us#iso2:us-tx#fips:48033,,654,,other,0,,,,,,,0,4,0,4,4,4,4,30,2,,,,,,0,,,,0,,0,,158,138,5/31/21,https://covidactnow.org/us/texas-tx/county/borden_county,0.241590214,0.211009174,0,274
48035,US,TX,Bosque County,county,,iso1:us#iso2:us-tx#fips:48035,,18685,0.0083,other,3.05822088,,1.172021079,1.025654444,0,,,2,0,1,4,2,0,4,1688,34,,,,25,6,2,0.33,1,,0,,0,,6650,5716,5/31/21,https://covidactnow.org/us/texas-tx/county/bosque_county,0.355900455,0.305913835,0,11667
48037,US,TX,Bowie County,county,,iso1:us#iso2:us-tx#fips:48037,,93245,0.0333,other,3.370536911,,0.694261215,0.742486582,0.135903138,,0.666666667,1,1,1,4,0,0,0,7076,220,,,,883,350,13,0.51,60,40,7,0.26,3,,22685,18629,5/31/21,https://covidactnow.org/us/texas-tx/county/bowie_county,0.243283822,0.199785511,0,38682
48039,US,TX,Brazoria County,county,,iso1:us#iso2:us-tx#fips:48039,,374264,0.0318,other,5.121162246,,0.763824343,0.287541523,0.919276067,,0.99152542,1,1,1,4,0,3,3,38070,518,,,,355,95,14,0.43,16,16,9,0.62,0,,161290,135835,5/31/21,https://covidactnow.org/us/texas-tx/county/brazoria_county,0.430952483,0.362938995,0,285546
48041,US,TX,Brazos County,county,,iso1:us#iso2:us-tx#fips:48041,,229211,0.0519,other,6.253335718,,0.758969561,0.408328109,0.152468077,,0.858490567,1,1,1,4,0,0,3,27567,252,,,,674,345,19,0.64,45,39,4,0.55,0,,94829,77238,5/31/21,https://covidactnow.org/us/texas-tx/county/brazos_county,0.413719237,0.336973356,0,166665
48043,US,TX,Brewster County,county,,iso1:us#iso2:us-tx#fips:48043,,9203,0.125,other,1.55228885,,0.987731916,1.171371493,,,,2,2,1,4,1,4,4,935,16,,,,25,6,1,0.35,2,0,0,0.11,0,,4551,3811,5/31/21,https://covidactnow.org/us/texas-tx/county/brewster_county,0.494512659,0.414104096,0,7932
48045,US,TX,Briscoe County,county,,iso1:us#iso2:us-tx#fips:48045,,1546,,other,0,,,,,,,0,4,0,4,4,4,4,168,6,,,,,,0,,,,0,,0,,481,446,5/31/21,https://covidactnow.org/us/texas-tx/county/briscoe_county,0.311125485,0.288486417,0,904
48047,US,TX,Brooks County,county,,iso1:us#iso2:us-tx#fips:48047,,7093,0.0087,other,14.09840688,,1.195281802,0.861429185,,,,2,0,2,4,2,4,4,828,36,,,,,,0,,,,0,,1,,3265,2717,5/31/21,https://covidactnow.org/us/texas-tx/county/brooks_county,0.460312985,0.383053715,0,5876
48049,US,TX,Brown County,county,,iso1:us#iso2:us-tx#fips:48049,,37864,0.0465,other,4.150191663,,0.942738173,1.016013891,0.177845528,,0.829268293,1,1,1,4,1,0,2,4283,138,,,,188,27,1,0.39,5,4,1,0.25,0,,11080,9676,5/31/21,https://covidactnow.org/us/texas-tx/county/brown_county,0.292626241,0.255546165,0,17518
48051,US,TX,Burleson County,county,,iso1:us#iso2:us-tx#fips:48051,,18443,0.0301,other,5.42211137,,0.823762701,0.96547638,0,,,1,1,1,4,0,0,4,2440,48,,,,25,15,0,0.36,2,0,0,,0,,6651,5713,5/31/21,https://covidactnow.org/us/texas-tx/county/burleson_county,0.360624627,0.309765223,0,11597
48053,US,TX,Burnet County,county,,iso1:us#iso2:us-tx#fips:48053,,48155,0.0131,other,4.449916193,,0.785042533,0.864642777,0.088047546,,0.508474577,1,0,1,4,0,0,0,4798,65,,,,71,41,2,0.41,8,4,0,0.44,0,,18971,15753,5/31/21,https://covidactnow.org/us/texas-tx/county/burnet_county,0.393957014,0.327131139,0,32636
48055,US,TX,Caldwell County,county,,iso1:us#iso2:us-tx#fips:48055,,43664,0.0236,other,9.81521227,,0.698470605,0.728611475,,,,1,0,1,4,0,4,4,5716,98,,,,66,39,0,0.64,10,9,4,,0,,16756,12763,5/31/21,https://covidactnow.org/us/texas-tx/county/caldwell_county,0.383748626,0.292300293,0,27877
